ERROR - 2022-06-07 01:04:14 --> Column 'part_id' cannot be null
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
ERROR - 2022-06-07 02:36:27 --> Unknown column 'reason_mapped' in 'field list'
